1599,,Hack and Slash,"When you attack an enemy in melee, roll+Str. On a 10+ you deal your damage to the enemy and avoid their attack. At your option, you may choose to do +1d6 damage but expose yourself to the enemy’s attack. On a 7–9, you deal your damage to the enemy and the enemy makes an attack against you.",basic
1600,,Volley,"When you take aim and shoot at an enemy at range, roll+Dex. On a 10+ you have a clear shot—deal your damage. On a 7–9, choose one (whichever you choose you deal your damage):

* You have to move to get the shot placing you in danger of the GM’s choice
* You have to take what you can get: -1d6 damage
* You have to take several shots, reducing your ammo by one.",basic
1601,,Defy Danger,"When you act despite an imminent threat or suffer a calamity, say how you deal with it and roll. If you do it…

* …by powering through, +Str
* …by getting out of the way or acting fast, +Dex
* …by enduring, +Con
* …with quick thinking, +Int
* …through mental fortitude, +Wis
* …using charm and social grace, +Cha

On a 10+, you do what you set out to, the threat doesn’t come to bear. On a 7–9, you stumble, hesitate, or flinch: the GM will offer you a worse outcome, hard bargain, or ugly choice.",basic
1602,,Defend,"When you stand in defense of a person, item, or location under attack, roll+Con. On a 10+, hold 3. On a 7–9, hold 1. So long as you stand in defense, when you or the thing you defend is attacked you may spend hold, 1 for 1, to choose an option:

* Redirect an attack from the thing you defend to yourself
* Halve the attack’s effect or damage
* Open up the attacker to an ally giving that ally +1 forward against the attacker
* Deal damage to the attacker equal to your level",basic
1603,,Spout Lore,"When you consult your accumulated knowledge about something, roll+Int. On a 10+ the GM will tell you something interesting and useful about the subject relevant to your situation. On a 7–9 the GM will only tell you something interesting—it’s on you to make it useful. The GM might ask you “How do you know this?” Tell them the truth, now.",basic
1802,The WIZARD,Expanded Spellbook,Add a new spell from the spell list of any class to your spellbook.,advanced
1604,,Discern Realities,"When you closely study a situation or person, roll+Wis. On a 10+ ask the GM 3 questions from the list below. On a 7–9 ask 1. Take +1 forward when acting on the answers.

* What happened here recently?
* What is about to happen?
* What should I be on the lookout for?
* What here is useful or valuable to me?
* Who’s really in control here?
* What here is not what it appears to be?",basic
1605,,Parley,"When you you have leverage on a GM character and manipulate them, roll+Cha. Leverage is something they need or want. On a hit they ask you for something and do it if you make them a promise first. On a 7–9, they need some concrete assurance of your promise, right now.",basic
1606,,Aid or Interfere,"When you help or hinder someone you have a bond with, roll+Bond with them. On a 10+ they take +1 or -2, your choice. On a 7–9 you also expose yourself to danger, retribution, or cost.

---",basic
1607,,Last Breath,"When you’re dying you catch a glimpse of what lies beyond the Black Gates of Death’s Kingdom (the GM will describe it). Then roll (just roll, +nothing—yeah, Death doesn’t care how tough or cool you are). On a 10+ you’ve cheated death—you’re in a bad spot but you’re still alive. On a 7–9 Death will offer you a bargain. Take it and stabilize or refuse and pass beyond the Black Gates into whatever fate awaits you. On a miss, your fate is sealed. You’re marked as Death’s own and you’ll cross the threshold soon. The GM will tell you when.",special
